,DAY,Away,Home,Network,Date,Season,Game_id,Average Viewers (000),Away P2+ IMP,Home P2+ IMP,Away_DMA_TV_Households_Millions,Home_DMA_TV_Households_Millions,Total Viewership,Percent_Tickets_Sold,Total_All_Stars,Home_All_Star,Away_All_Star,Month,Day_of_Week,Home_Top_Jersey_Sellers,Away_Top_Jersey_Sellers,Holiday,Weekend,Weekday,Total_Top_Jersey_Sellers,Past_Playoff_Teams,Rivalry,Home_Pace_Rating,Away_Pace_Rating,Home_Elo,Away_Elo,Web_Viewing
0,Tue,NYK,CLE,TNT,2016-10-25,2016,21600001,2872,0,0,7.35,1.5,2872,1,4,3,1,10,1,3,3,0,0,1,6,0,0,100.7,101.5,1652.354504,1389.965467,120494
1,Tue,UTA,POR,Regional,2016-10-25,2016,21600002,0,29,142,0.92,1.14,171,1,1,0,1,10,1,1,0,0,0,1,1,0,0,101.8,94.6,1571.574128,1505.9983300000001,39087
2,Tue,SAS,GSW,TNT,2016-10-25,2016,21600003,3483,0,0,0.94,2.49,3483,1,5,4,1,10,1,5,2,0,0,1,7,0,0,104.5,98,1668.670868,1715.290841,91060
3,Wed,MIA,ORL,Regional,2016-10-26,2016,21600004,0,110,32,1.7,1.52,142,1,0,0,0,10,2,0,0,0,0,1,0,0,0,99.7,99,1452.3654099999999,1562.811566,13071
4,Wed,DAL,IND,Regional,2016-10-26,2016,21600005,0,40,48,2.71,1.09,88,1,1,1,0,10,2,1,1,0,0,1,2,0,0,100.8,95,1559.619957,1518.4898269999999,11121
5,Wed,BRK,BOS,Regional,2016-10-26,2016,21600006,0,58,91,7.35,2.42,149,1,1,1,0,10,2,1,1,0,0,1,2,0,0,100,105.2,1476.881203,1383.56394,14110
6,Wed,DET,TOR,Regional,2016-10-26,2016,21600007,0,34,0,1.85,2.86,34,1,2,2,0,10,2,2,0,0,0,1,2,0,0,99,97.9,1561.19959,1478.190892,9564
7,Wed,CHA,MIL,Regional,2016-10-26,2016,21600008,0,16.72727273,28,1.19,0.9,44.72727273,1,2,1,1,10,2,1,1,0,0,1,2,0,0,99.2,100.3,1440.953997,1529.967833,10152
8,Wed,MIN,MEM,Regional,2016-10-26,2016,21600009,0,66,24,1.74,0.63,90,1,1,1,0,10,2,0,0,0,0,1,0,0,0,97.7,98.4,1445.235171,1389.276572,8681
9,Wed,DEN,NOP,Regional,2016-10-26,2016,21600010,0,8,10.2,1.63,0.64,18.2,0.8776548541678992,1,1,0,10,2,0,0,0,0,1,0,0,0,102.1,102.1,1473.774657,1413.582676,9524
10,Wed,OKC,PHI,ESPN,2016-10-26,2016,21600011,1583,27.18181818,117,0.72,2.94,1727.18181818,1,1,0,1,10,2,1,1,0,0,1,2,0,0,102.1,102.2,1260.376745,1664.422444,11502
11,Wed,SAC,PHX,Regional,2016-10-26,2016,21600012,0,38,36,1.38,1.89,74,1,1,0,1,10,2,0,1,0,0,1,1,0,0,103.9,98.7,1379.480175,1434.61763,7537
12,Wed,HOU,LAL,ESPN,2016-10-26,2016,21600013,2002,0,0,2.45,5.48,2002,1,1,0,1,10,2,0,1,0,0,1,1,0,0,101.4,103.3,1337.441872,1490.3988980000001,15233
