2016-17,R. Westbrook (30.63),K. Durant (27.59),K. Leonard (27.55),A. Davis (27.51),J. Harden (27.37),L. James (27.04),I. Thomas (26.50),N. Jokic (26.34),C. Paul (26.22),G. Antetokounmpo (26.06)
2015-16,S. Curry (31.46),K. Durant (28.17),R. Westbrook (27.58),L. James (27.55),C. Paul (26.24),K. Leonard (26.03),H. Whiteside (25.65),J. Harden (25.30),A. Davis (25.02),E. Kanter (24.02)
2014-15,A. Davis (30.81),R. Westbrook (29.06),S. Curry (27.98),J. Harden (26.70),C. Paul (25.98),L. James (25.94),D. Cousins (25.22),B. Griffin (22.78),L. Aldridge (22.77),B. Lopez (22.69)
2013-14,K. Durant (29.82),L. James (29.30),K. Love (26.90),A. Davis (26.47),D. Cousins (26.12),C. Paul (25.92),C. Anthony (24.42),S. Curry (24.08),B. Griffin (23.90),D. Nowitzki (23.60)
2012-13,L. James (31.59),K. Durant (28.29),C. Paul (26.38),C. Anthony (24.75),B. Lopez (24.73),T. Duncan (24.38),D. Wade (23.96),R. Westbrook (23.92),T. Parker (23.03),K. Bryant (23.02)
2011-12,L. James (30.74),C. Paul (27.04),D. Wade (26.31),K. Durant (26.20),K. Love (25.36),D. Howard (24.24),B. Griffin (23.43),D. Rose (23.03),R. Westbrook (22.94),A. Bynum (22.94)
2010-11,L. James (27.27),D. Howard (26.06),D. Wade (25.57),K. Love (24.34),K. Bryant (23.85),C. Paul (23.70),K. Durant (23.63),R. Westbrook (23.57),D. Rose (23.54),D. Nowitzki (23.43)
2009-10,L. James (31.11),D. Wade (28.02),K. Durant (26.16),C. Bosh (25.04),T. Duncan (24.71),D. Howard (24.02),C. Paul (23.68),D. Nowitzki (22.92),P. Gasol (22.92),A. Stoudemire (22.61)
2008-09,L. James (31.67),D. Wade (30.36),C. Paul (29.96),D. Howard (25.37),T. Duncan (24.41),K. Bryant (24.37),B. Roy (24.00),T. Parker (23.37),D. Nowitzki (23.11),A. Jefferson (23.07)
2007-08,L. James (29.14),C. Paul (28.31),A. Stoudemire (27.57),K. Garnett (25.25),D. Nowitzki (24.58),T. Duncan (24.35),M. Ginobili (24.26),K. Bryant (24.24),C. Bosh (23.81),C. Billups (23.58)
2006-07,D. Wade (28.91),D. Nowitzki (27.60),Y. Ming* (26.46),T. Duncan (26.10),K. Bryant (26.05),L. James (24.51),K. Garnett (24.15),P. Gasol (24.14),M. Ginobili (24.14),C. Boozer (24.09)
2005-06,D. Nowitzki (28.06),L. James (28.06),K. Bryant (27.97),D. Wade (27.63),K. Garnett (26.81),E. Brand (26.55),A. Iverson* (25.90),Y. Ming* (25.65),S. O'Neal* (24.36),G. Arenas (23.78)
2004-05,K. Garnett (28.20),T. Duncan (27.04),S. O'Neal* (26.95),A. Stoudemire (26.64),D. Nowitzki (26.07),L. James (25.67),K. Bryant (23.27),A. Iverson* (23.21),Y. Ming* (23.18),D. Wade (23.13)
2003-04,K. Garnett (29.44),T. Duncan (27.06),T. McGrady* (25.28),S. O'Neal* (24.42),K. Bryant (23.66),E. Brand (23.23),S. Cassell (22.84),A. Kirilenko (22.63),D. Nowitzki (22.53),Y. Ming* (21.85)
2002-03,T. McGrady* (30.27),S. O'Neal* (29.49),T. Duncan (26.93),K. Garnett (26.37),K. Bryant (26.17),D. Nowitzki (25.55),P. Pierce (22.69),S. Nash (22.59),S. Cassell (22.30),J. Kidd (22.18)
2001-02,S. O'Neal* (29.68),T. Duncan (27.01),T. McGrady* (25.11),C. Webber (24.42),D. Nowitzki (24.12),K. Garnett (23.80),E. Brand (23.62),K. Bryant (23.21),G. Payton* (22.93),P. Pierce (22.29)
2000-01,S. O'Neal* (30.23),V. Carter (25.01),T. McGrady* (24.88),K. Malone* (24.70),C. Webber (24.66),K. Bryant (24.46),A. Iverson* (23.95),K. Garnett (23.86),T. Duncan (23.83),D. Robinson* (23.69)
1999-00,S. O'Neal* (30.65),K. Malone* (27.09),A. Mourning* (25.75),T. Duncan (24.78),D. Robinson* (24.55),G. Hill (24.50),K. Garnett (23.61),G. Payton* (23.60),C. Webber (23.43),V. Carter (23.36)
1998-99,S. O'Neal* (30.55),K. Malone* (25.60),D. Robinson* (24.91),A. Mourning* (24.57),G. Hill (23.88),S. Kemp (23.60),T. Duncan (23.21),C. Barkley* (23.09),H. Olajuwon* (23.07),G. Payton* (23.06)
1997-98,S. O'Neal* (28.79),K. Malone* (27.92),D. Robinson* (27.85),M. Jordan* (25.24),T. Duncan (22.63),A. Mourning* (22.41),J. Stockton* (21.80),C. Barkley* (21.61),G. Payton* (21.58),G. Hill (21.17)
1996-97,K. Malone* (28.90),M. Jordan* (27.76),S. O'Neal* (27.12),G. Hill (25.54),C. Barkley* (22.95),K. Johnson (22.86),H. Olajuwon* (22.69),J. Stockton* (22.09),G. Payton* (21.85),A. Sabonis* (21.84)
1995-96,D. Robinson* (29.41),M. Jordan* (29.35),S. O'Neal* (26.38),K. Malone* (25.97),H. Olajuwon* (25.52),T. Brandon (25.24),C. Barkley* (24.76),A. Sabonis* (24.74),A. Hardaway (24.58),K. Johnson (22.77)
1994-95,D. Robinson* (29.13),S. O'Neal* (28.59),H. Olajuwon* (25.98),C. Barkley* (25.18),K. Malone* (25.08),J. Stockton* (23.32),S. Pippen* (22.58),C. Drexler* (22.39),P. Ewing* (21.88),S. Kemp (21.69)
1993-94,D. Robinson* (30.66),S. O'Neal* (28.53),H. Olajuwon* (25.29),S. Pippen* (23.16),K. Malone* (22.91),S. Kemp (22.88),P. Ewing* (22.85),C. Barkley* (22.82),M. Price (22.70),J. Stockton* (22.53)
1992-93,M. Jordan* (29.70),H. Olajuwon* (27.31),K. Malone* (26.21),C. Barkley* (25.90),D. Wilkins* (24.30),D. Robinson* (24.19),S. O'Neal* (22.91),M. Price (22.10),B. Daugherty (22.00),J. Stockton* (21.26)
1991-92,M. Jordan* (27.75),D. Robinson* (27.51),K. Malone* (25.37),C. Barkley* (24.50),H. Olajuwon* (23.66),C. Drexler* (23.58),B. Daugherty (23.00),J. Stockton* (22.79),P. Ewing* (22.76),M. Price (22.70)
1990-91,M. Jordan* (31.63),C. Barkley* (28.93),D. Robinson* (27.43),M. Johnson* (25.05),K. Malone* (24.83),H. Olajuwon* (24.30),K. Johnson (23.72),P. Ewing* (23.69),D. Wilkins* (23.47),J. Stockton* (23.38)
1989-90,M. Jordan* (31.18),K. Malone* (27.24),C. Barkley* (27.11),M. Johnson* (26.60),D. Robinson* (26.35),P. Ewing* (25.77),D. Wilkins* (24.59),H. Olajuwon* (24.14),J. Stockton* (23.87),K. Johnson (22.76)
1988-89,M. Jordan* (31.14),C. Barkley* (26.96),M. Johnson* (26.92),H. Olajuwon* (25.17),K. Malone* (24.35),C. Drexler* (23.55),J. Stockton* (22.85),P. Ewing* (22.12),C. Mullin* (21.90),D. Wilkins* (21.80)
1987-88,M. Jordan* (31.71),L. Bird* (27.77),C. Barkley* (27.58),C. Drexler* (24.07),D. Wilkins* (23.73),H. Olajuwon* (23.42),J. Stockton* (23.23),M. Johnson* (23.11),M. Aguirre (21.90),K. McHale* (21.88)
1986-87,M. Jordan* (29.78),M. Johnson* (27.03),L. Bird* (26.38),C. Barkley* (25.07),K. McHale* (23.96),H. Olajuwon* (23.84),M. Malone* (23.83),D. Wilkins* (23.47),L. Nance (22.19),M. Aguirre (22.10)
1985-86,L. Bird* (25.61),A. Dantley* (24.55),H. Olajuwon* (24.17),M. Johnson* (23.96),D. Wilkins* (23.26),K. Abdul-Jabbar* (22.73),C. Barkley* (22.38),A. English* (21.65),K. McHale* (21.63),I. Thomas* (21.24)
1984-85,L. Bird* (26.54),M. Jordan* (25.85),B. King* (25.21),M. Johnson* (23.19),K. Abdul-Jabbar* (22.94),M. Malone* (22.53),I. Thomas* (22.19),T. Cummings (22.13),A. Dantley* (21.90),C. Natt (21.80)
1983-84,A. Dantley* (24.64),L. Bird* (24.22),K. Vandeweghe (23.61),M. Aguirre (23.51),J. Erving* (22.90),B. King* (22.66),M. Johnson* (22.59),A. English* (22.19),M. Malone* (21.78),K. Abdul-Jabbar* (21.26)
1982-83,M. Malone* (25.12),A. English* (24.12),L. Bird* (24.09),K. Abdul-Jabbar* (23.57),J. Erving* (23.11),M. Johnson* (23.00),R. Parish* (22.99),T. Cummings (22.83),S. Moncrief (22.64),K. Vandeweghe (21.79)
1981-82,M. Malone* (26.77),J. Erving* (25.91),A. Dantley* (24.20),G. Gervin* (24.17),K. Abdul-Jabbar* (23.42),D. Issel* (23.06),M. Johnson* (22.91),L. Bird* (22.62),R. Parish* (22.59),A. Gilmore* (22.42)
1980-81,K. Abdul-Jabbar* (25.48),R. Parish* (25.20),M. Malone* (25.08),J. Erving* (25.07),A. Dantley* (24.25),G. Gervin* (22.93),M. Johnson (22.00),A. Gilmore* (21.69),D. Issel* (21.66),D. Roundfield (20.66)
1979-80,J. Erving* (25.36),K. Abdul-Jabbar* (25.30),A. Dantley* (24.33),M. Malone* (24.06),G. Gervin* (24.04),W. Free (22.75),D. Issel* (22.24),M. Johnson (22.00),R. Williams (21.60),W. Davis (21.33)
1978-79,K. Abdul-Jabbar* (25.47),M. Johnson (23.94),M. Malone* (23.74),G. Gervin* (23.16),W. Davis (23.05),P. Westphal (22.60),A. Gilmore* (22.27),W. Free (22.12),J. Drew (21.71),B. Lanier* (21.66)
1977-78,K. Abdul-Jabbar* (29.22),B. Walton* (24.83),B. Lanier* (24.78),G. Gervin* (24.68),P. Westphal (23.81),J. Drew (23.69),A. Gilmore* (23.51),D. Thompson* (23.19),W. Davis (22.14),B. McAdoo* (21.98)
1976-77,K. Abdul-Jabbar* (27.80),B. Lanier* (22.96),B. Walton* (22.88),B. McAdoo* (21.83),A. Gilmore* (21.64),P. Westphal (21.45),G. Gervin* (21.40),D. Issel* (21.16),B. Jones (21.10),J. Erving* (20.93)
1975-76,K. Abdul-Jabbar* (27.21),J. Drew (25.31),B. McAdoo* (23.31),B. Lanier* (22.74),A. Adams (21.74),G. McGinnis* (21.31),P. Maravich* (20.55),F. Brown (20.37),T. Archibald* (20.08),C. Murphy* (19.93)
1975-76,J. Erving* (28.68),A. Gilmore* (23.45),D. Issel* (21.82),M. Barnes (21.55),J. Silas (21.16),B. Knight (21.13),D. Thompson* (21.08),G. Gervin* (19.96),B. Jones (18.95),B. Paultz (18.63)
1974-75,K. Abdul-Jabbar* (26.36),B. McAdoo* (25.76),B. Lanier* (24.35),R. Barry* (23.47),T. Archibald* (21.65),J. Drew (21.37),W. Frazier* (19.90),F. Brown (19.83),S. Wicks (19.71),C. Walker* (19.46)
1974-75,J. Erving* (26.18),G. McGinnis* (25.13),A. Gilmore* (22.59),M. Barnes (20.84),G. Gervin* (20.44),M. Malone* (19.59),T. Grant (19.46),D. Robisch (19.41),T. Owens (19.40),B. Jones (19.37)
1973-74,B. McAdoo* (24.65),K. Abdul-Jabbar* (24.38),B. Lanier* (23.87),R. Barry* (22.42),R. Tomjanovich (20.55),P. Maravich* (20.34),C. Murphy* (20.00),L. Hudson (19.48),S. Haywood* (19.40),N. Walk (19.06)
1973-74,J. Erving* (25.69),G. Gervin* (21.75),G. McGinnis* (21.51),A. Gilmore* (20.68),D. Issel* (20.66),S. Nater (20.63),W. Wise (20.12),M. Green (19.80),J. Eakins (18.96),G. Thompson (18.91)
1972-73,K. Abdul-Jabbar* (28.45),T. Archibald* (25.19),J. West* (23.23),S. Haywood* (22.74),B. Lanier* (22.09),R. Barry* (20.37),S. Wicks (20.34),C. Walker* (20.26),W. Frazier* (19.68),P. Maravich* (19.65)
1972-73,J. Erving* (27.66),B. Cunningham* (24.73),A. Gilmore* (24.10),G. McGinnis* (22.67),D. Issel* (22.40),B. Paultz (21.71),W. Jabali (20.78),M. Calvin (19.59),R. Simpson (19.57),M. Daniels* (19.27)
