Category: All categories

Week,golden state warriors: (United States)
2012-09-23,1
2012-09-30,1
2012-10-07,2
2012-10-14,1
2012-10-21,1
2012-10-28,2
2012-11-04,2
2012-11-11,2
2012-11-18,2
2012-11-25,2
2012-12-02,2
2012-12-09,3
2012-12-16,2
2012-12-23,3
2012-12-30,3
2013-01-06,2
2013-01-13,2
2013-01-20,3
2013-01-27,2
2013-02-03,2
2013-02-10,3
2013-02-17,3
2013-02-24,3
2013-03-03,3
2013-03-10,2
2013-03-17,2
2013-03-24,2
2013-03-31,2
2013-04-07,3
2013-04-14,3
2013-04-21,5
2013-04-28,11
2013-05-05,13
2013-05-12,12
2013-05-19,2
2013-05-26,1
2013-06-02,1
2013-06-09,1
2013-06-16,1
2013-06-23,2
2013-06-30,3
2013-07-07,3
2013-07-14,1
2013-07-21,1
2013-07-28,1
2013-08-04,1
2013-08-11,1
2013-08-18,1
2013-08-25,1
2013-09-01,1
2013-09-08,1
2013-09-15,1
2013-09-22,1
2013-09-29,1
2013-10-06,2
2013-10-13,1
2013-10-20,2
2013-10-27,4
2013-11-03,3
2013-11-10,3
2013-11-17,3
2013-11-24,3
2013-12-01,2
2013-12-08,3
2013-12-15,3
2013-12-22,4
2013-12-29,3
2014-01-05,3
2014-01-12,3
2014-01-19,3
2014-01-26,3
2014-02-02,2
2014-02-09,3
2014-02-16,3
2014-02-23,3
2014-03-02,2
2014-03-09,3
2014-03-16,2
2014-03-23,2
2014-03-30,3
2014-04-06,3
2014-04-13,4
2014-04-20,6
2014-04-27,10
2014-05-04,6
2014-05-11,2
2014-05-18,1
2014-05-25,1
2014-06-01,1
2014-06-08,1
2014-06-15,1
2014-06-22,2
2014-06-29,2
2014-07-06,2
2014-07-13,2
2014-07-20,1
2014-07-27,1
2014-08-03,1
2014-08-10,1
2014-08-17,1
2014-08-24,1
2014-08-31,1
2014-09-07,1
2014-09-14,1
2014-09-21,1
2014-09-28,1
2014-10-05,1
2014-10-12,2
2014-10-19,2
2014-10-26,2
2014-11-02,5
2014-11-09,4
2014-11-16,3
2014-11-23,4
2014-11-30,4
2014-12-07,6
2014-12-14,7
2014-12-21,6
2014-12-28,4
2015-01-04,5
2015-01-11,5
2015-01-18,6
2015-01-25,6
2015-02-01,5
2015-02-08,4
2015-02-15,4
2015-02-22,5
2015-03-01,5
2015-03-08,5
2015-03-15,5
2015-03-22,5
2015-03-29,6
2015-04-05,6
2015-04-12,8
2015-04-19,13
2015-04-26,7
2015-05-03,13
2015-05-10,20
2015-05-17,22
2015-05-24,34
2015-05-31,27
2015-06-07,42
2015-06-14,53
2015-06-21,5
2015-06-28,3
2015-07-05,3
2015-07-12,2
2015-07-19,2
2015-07-26,2
2015-08-02,1
2015-08-09,2
2015-08-16,1
2015-08-23,1
2015-08-30,1
2015-09-06,1
2015-09-13,1
2015-09-20,1
2015-09-27,2
2015-10-04,2
2015-10-11,2
2015-10-18,3
2015-10-25,8
2015-11-01,11
2015-11-08,11
2015-11-15,18
2015-11-22,24
2015-11-29,24
2015-12-06,36
2015-12-13,29
2015-12-20,22
2015-12-27,17
2016-01-03,18
2016-01-10,17
2016-01-17,20
2016-01-24,19
2016-01-31,16
2016-02-07,18
2016-02-14,11
2016-02-21,20
2016-02-28,28
2016-03-06,23
2016-03-13,21
2016-03-20,25
2016-03-27,27
2016-04-03,32
2016-04-10,62
2016-04-17,26
2016-04-24,25
2016-05-01,24
2016-05-08,39
2016-05-15,40
2016-05-22,67
2016-05-29,100
2016-06-05,78
2016-06-12,76
2016-06-19,45
2016-06-26,5
2016-07-03,20
2016-07-10,7
2016-07-17,5
2016-07-24,4
2016-07-31,3
2016-08-07,3
2016-08-14,2
2016-08-21,3
2016-08-28,2
2016-09-04,2
2016-09-11,2
2016-09-18,2
2016-09-25,3
2016-10-02,7
2016-10-09,5
2016-10-16,6
2016-10-23,17
2016-10-30,20
2016-11-06,13
2016-11-13,14
2016-11-20,17
2016-11-27,16
2016-12-04,17
2016-12-11,14
2016-12-18,14
2016-12-25,17
2017-01-01,13
2017-01-08,12
2017-01-15,18
2017-01-22,13
2017-01-29,16
2017-02-05,13
2017-02-12,15
2017-02-19,9
2017-02-26,14
2017-03-05,13
2017-03-12,12
2017-03-19,12
2017-03-26,15
2017-04-02,13
2017-04-09,13
2017-04-16,18
2017-04-23,17
2017-04-30,17
2017-05-07,17
2017-05-14,27
2017-05-21,24
2017-05-28,25
2017-06-04,59
2017-06-11,41
2017-06-18,7
2017-06-25,5
2017-07-02,8
2017-07-09,5
2017-07-16,4
2017-07-23,4
2017-07-30,3
2017-08-06,3
2017-08-13,3
2017-08-20,3
2017-08-27,2
2017-09-03,2
2017-09-10,2
2017-09-17,3
