,GM,DAY,DATE,Away,HOME,Network,Average Viewers (000),Away P2+ IMP,Home P2+ IMP,DMA_TV_Households_Millions_x,DMA_TV_Households_Millions_y,Total Viewership
0,1,Tue,2016-10-25,NYK,CLE,TNT,2872.0,0.0,0.0,7.35,1.5,2872.0
1,2,Tue,2016-10-25,UTA,POR,Regional,0.0,29.0,142.0,0.92,1.14,171.0
2,3,Tue,2016-10-25,SAS,GSW,TNT,3483.0,0.0,0.0,0.94,2.49,3483.0
3,4,Wed,2016-10-26,MIA,ORL,Regional,0.0,110.0,32.0,1.7,1.52,142.0
4,5,Wed,2016-10-26,DAL,IND,Regional,0.0,40.0,48.0,2.71,1.09,88.0
5,6,Wed,2016-10-26,BRK,BOS,Regional,0.0,58.0,91.0,7.35,2.42,149.0
6,7,Wed,2016-10-26,DET,TOR,Regional,0.0,34.0,0.0,1.85,2.86,34.0
7,8,Wed,2016-10-26,CHA,MIL,Regional,0.0,16.72727273,28.0,1.19,0.9,44.727272729999996
8,9,Wed,2016-10-26,MIN,MEM,Regional,0.0,66.0,24.0,1.74,0.63,90.0
9,10,Wed,2016-10-26,DEN,NOP,Regional,0.0,8.0,10.2,1.63,0.64,18.2
10,11,Wed,2016-10-26,OKC,PHI,ESPN,1583.0,27.18181818,117.0,0.72,2.94,1727.18181818
11,12,Wed,2016-10-26,SAC,PHX,Regional,0.0,38.0,36.0,1.38,1.89,74.0
12,13,Wed,2016-10-26,HOU,LAL,ESPN,2002.0,0.0,0.0,2.45,5.48,2002.0
13,14,Thu,2016-10-27,WAS,ATL,Regional,0.0,47.0,64.0,2.48,2.41,111.0
14,15,Thu,2016-10-27,BOS,CHI,TNT,1961.0,0.0,0.0,2.42,3.46,1961.0
15,16,Thu,2016-10-27,SAS,SAC,Regional,0.0,49.0,90.0,0.94,1.38,139.0
16,17,Thu,2016-10-27,LAC,POR,TNT,1685.0,0.0,0.0,5.48,1.14,1685.0
17,18,Fri,2016-10-28,CLE,TOR,ESPN,1410.0,63.0,0.0,1.5,2.86,1473.0
18,19,Fri,2016-10-28,IND,BRK,Regional,0.0,35.0,23.0,1.09,7.35,58.0
19,20,Fri,2016-10-28,ORL,DET,Regional,0.0,13.0,46.0,1.52,1.85,59.0
20,21,Fri,2016-10-28,PHX,OKC,Regional,0.0,28.0,50.33333333,1.89,0.72,78.33333333
21,22,Fri,2016-10-28,CHA,MIA,Regional,0.0,9.4,86.0,1.19,1.7,95.4
22,23,Fri,2016-10-28,HOU,DAL,Regional,0.0,54.0,15.0,2.45,2.71,69.0
23,24,Fri,2016-10-28,LAL,UTA,Regional,0.0,146.0,36.27272727,5.48,0.92,182.27272727
24,25,Fri,2016-10-28,GSW,NOP,ESPN,1875.0,174.0,0.0,2.49,0.64,2049.0
25,27,Sat,2016-10-29,BOS,CHA,Regional,0.0,35.0,5.8,2.42,1.19,40.8
26,28,Sat,2016-10-29,MEM,NYK,Regional,0.0,9.916666667000001,258.0,0.63,7.35,267.916666667
27,29,Sat,2016-10-29,ORL,CLE,Regional,0.0,13.0,59.0,1.52,1.5,72.0
28,30,Sat,2016-10-29,IND,CHI,Regional,0.0,19.0,28.0,1.09,3.46,47.0
29,31,Sat,2016-10-29,BRK,MIL,Regional,0.0,19.0,11.0,7.35,0.9,30.0
30,32,Sat,2016-10-29,NOP,SAS,NBA TV,219.0,8.1,38.0,0.64,0.94,265.1
31,33,Sat,2016-10-29,POR,DEN,Regional,0.0,58.0,19.0,1.14,1.63,77.0
32,34,Sat,2016-10-29,MIN,SAC,NBA TV,260.0,42.0,74.0,1.74,1.38,376.0
