,Date,ATL,ATL_TTS,BOS,BOS_TTS,BRK,BRK_TTS,CHA,CHA_TTS,CHI,CHI_TTS,CLE,CLE_TTS,DAL,DAL_TTS,DEN,DEN_TTS,DET,DET_TTS,GSW,GSW_TTS,HOU,HOU_TTS,IND,IND_TTS,LAC,LAC_TTS,LAL,LAL_TTS,MEM,MEM_TTS,MIA,MIA_TTS,MIL,MIL_TTS,MIN,MIN_TTS,NOP,NOP_TTS,NYK,NYK_TTS,OKC,OKC_TTS,ORL,ORL_TTS,PHI,PHI_TTS,PHX,PHX_TTS,POR,POR_TTS,SAC,SAC_TTS,SAS,SAS_TTS,TOR,TOR_TTS,UTA,UTA_TTS,WAS,WAS_TTS
17171,2010-10-1,8157.0,,44224.0,,11407.0,,7072.0,,54026.0,,24002.0,,13257.0,,10772.0,,14791.0,,13641.0,,18820.0,,7849.0,,8760.0,,94315.0,,7042.0,,177148.0,,11176.0,,8806.0,,10912.0,,25680.0,,13425.0,,26719.0,,10192.0,,19417.0,,16706.0,,9709.0,,18338.0,,19877.0,,13943.0,,14692.0,
17172,2010-10-2,6647.0,,36757.0,,8971.0,,6146.0,,27353.0,,20271.0,,14455.0,,8987.0,,15554.0,,10654.0,,15604.0,,6518.0,,7329.0,,91458.0,,5576.0,,47690.0,,7065.0,,7994.0,,8944.0,,20149.0,,8302.0,,19872.0,,8148.0,,16465.0,,12381.0,,9068.0,,14397.0,,17090.0,,9810.0,,10384.0,
17173,2010-10-3,7199.0,,35897.0,,12170.0,,6411.0,,39936.0,,18335.0,,10183.0,,10305.0,,13619.0,,10833.0,,16472.0,,6607.0,,7226.0,,102764.0,,5738.0,,55370.0,,7293.0,,8647.0,,9640.0,,33557.0,,7224.0,,18726.0,,8014.0,,17508.0,,10722.0,,9966.0,,17820.0,,19632.0,,10866.0,,12607.0,
17174,2010-10-4,9752.0,,47991.0,,17697.0,,9696.0,,44544.0,,25199.0,,15956.0,,11986.0,,18307.0,,15160.0,,22419.0,,8987.0,,10348.0,,141717.0,,7197.0,,99684.0,,9812.0,,21923.0,,7401.0,,32520.0,,10643.0,,24889.0,,10906.0,,23514.0,,16135.0,,12344.0,,20802.0,,25239.0,,15373.0,,21935.0,
17175,2010-10-5,10672.0,,61268.0,,15810.0,,11556.0,,45359.0,,39452.0,,21211.0,,13700.0,,28416.0,,18205.0,,29163.0,,9943.0,,12313.0,,86245.0,,7580.0,,117475.0,,14068.0,,15728.0,,9298.0,,27070.0,,9767.0,,32401.0,,16271.0,,25264.0,,26457.0,,16792.0,,20811.0,,24525.0,,15676.0,,21854.0,
17176,2010-10-6,11318.0,,73258.0,,13664.0,,9962.0,,37779.0,,33298.0,,14740.0,,13129.0,,21144.0,,17887.0,,24855.0,,11269.0,,11040.0,,82602.0,,8817.0,,79528.0,,11263.0,,14439.0,,12031.0,,30994.0,,11879.0,,28595.0,,15620.0,,24853.0,,21776.0,,15809.0,,22792.0,,24545.0,,15937.0,,23300.0,
17177,2010-10-7,11513.0,,70125.0,,29547.0,,8675.0,,37864.0,,30182.0,,16061.0,,14479.0,,16845.0,,17478.0,,24623.0,,9914.0,,10017.0,,115037.0,,8609.0,,62586.0,,10142.0,,11224.0,,10166.0,,23247.0,,13148.0,,24987.0,,11722.0,,26232.0,,18404.0,,13313.0,,28236.0,,35660.0,,24929.0,,23532.0,
17178,2010-10-8,8756.0,,52141.0,,10767.0,,8414.0,,38805.0,,22480.0,,13631.0,,17081.0,,16137.0,,18565.0,,22071.0,,9854.0,,11855.0,,73942.0,,7030.0,,70250.0,,9597.0,,9396.0,,8033.0,,19441.0,,13222.0,,29796.0,,9366.0,,18147.0,,19928.0,,10707.0,,20193.0,,24761.0,,17578.0,,20474.0,
17179,2010-10-9,7202.0,,40258.0,,10252.0,,6312.0,,29130.0,,17795.0,,11483.0,,13674.0,,12692.0,,19753.0,,18587.0,,7953.0,,10835.0,,62008.0,,6014.0,,59212.0,,8459.0,,7233.0,,7931.0,,17340.0,,7197.0,,20216.0,,10147.0,,19526.0,,11550.0,,8217.0,,21984.0,,20109.0,,11078.0,,13928.0,
17180,2010-10-10,7674.0,,49971.0,,10010.0,,6502.0,,27037.0,,20515.0,,10203.0,,10994.0,,12226.0,,17722.0,,20506.0,,6664.0,,7052.0,,60263.0,,6357.0,,49625.0,,7907.0,,7111.0,,8804.0,,18827.0,,6954.0,,27522.0,,8551.0,,17474.0,,11423.0,,9597.0,,19617.0,,27101.0,,10487.0,,14215.0,
