Team,Date,ELO,,,
ATL,10/28/13,1484.9948,,,
ATL,10/30/13,1476.025243,,,
ATL,11/1/13,1484.246368,,,
ATL,11/3/13,1479.578527,,,
ATL,11/5/13,1485.326755,,,
ATL,11/7/13,1481.539933,,,
ATL,11/9/13,1487.618069,,,
ATL,11/11/13,1493.172544,,,
ATL,11/13/13,1488.027532,,,
ATL,11/15/13,1496.801996,,,
ATL,11/16/13,1516.391935,,,
ATL,11/19/13,1507.954268,,,
ATL,11/20/13,1513.586373,,,
ATL,11/22/13,1518.881341,,,
ATL,11/23/13,1509.642254,,,
ATL,11/26/13,1492.101993,,,
ATL,11/27/13,1475.363341,,,
ATL,11/29/13,1480.113476,,,
ATL,11/30/13,1471.255482,,,
ATL,12/2/13,1468.786495,,,
ATL,12/4/13,1484.234009,,,
ATL,12/6/13,1492.385855,,,
ATL,12/10/13,1487.113387,,,
ATL,12/13/13,1491.19603,,,
ATL,12/14/13,1483.783943,,,
ATL,12/16/13,1495.269781,,,
ATL,12/18/13,1505.081906,,,
ATL,12/20/13,1520.198658,,,
ATL,12/23/13,1517.292084,,,
ATL,12/26/13,1519.631257,,,
ATL,12/28/13,1522.401944,,,
ATL,12/29/13,1511.528704,,,
ATL,12/31/13,1514.9038,,,
ATL,1/3/14,1512.048497,,,
ATL,1/4/14,1503.164159,,,
ATL,1/6/14,1495.276371,,,
ATL,1/8/14,1511.93155,,,
ATL,1/10/14,1518.731749,,,
ATL,1/12/14,1510.760005,,,
ATL,1/16/14,1495.920243,,,
ATL,1/20/14,1508.827569,,,
ATL,1/22/14,1510.845303,,,
ATL,1/24/14,1500.23053,,,
ATL,1/25/14,1507.235251,,,
ATL,1/27/14,1504.67152,,,
ATL,1/31/14,1512.85722,,,
ATL,2/1/14,1521.893638,,,
ATL,2/4/14,1517.922059,,,
ATL,2/5/14,1509.72953,,,
ATL,2/8/14,1505.422737,,,
ATL,2/11/14,1491.375339,,,
ATL,2/12/14,1476.647539,,,
ATL,2/18/14,1470.596744,,,
ATL,2/19/14,1458.18408,,,
ATL,2/21/14,1447.992315,,,
ATL,2/22/14,1457.719693,,,
ATL,2/25/14,1452.740317,,,
ATL,2/26/14,1439.745697,,,
ATL,3/2/14,1432.47855,,,
ATL,3/5/14,1420.907565,,,
ATL,3/7/14,1413.546466,,,
ATL,3/8/14,1411.713223,,,
ATL,3/10/14,1415.892101,,,
ATL,3/13/14,1419.298009,,,
ATL,3/15/14,1426.038102,,,
ATL,3/17/14,1442.785218,,,
ATL,3/18/14,1453.117176,,,
ATL,3/21/14,1445.031,,,
ATL,3/23/14,1437.823606,,,
ATL,3/24/14,1432.13586,,,
ATL,3/26/14,1416.907898,,,
ATL,3/27/14,1408.099031,,,
ATL,3/29/14,1403.370342,,,
ATL,3/31/14,1406.454838,,,
ATL,4/2/14,1399.303381,,,
ATL,4/4/14,1415.749313,,,
ATL,4/6/14,1440.014367,,,
ATL,4/8/14,1430.65483,,,
ATL,4/9/14,1435.774637,,,
ATL,4/11/14,1446.081813,,,
ATL,4/12/14,1467.523481,,,
ATL,4/14/14,1463.609655,,,
ATL,4/16/14,1466.564468,,,
ATL,4/19/14,1478.23623,,,
ATL,4/22/14,1465.764623,,,
ATL,4/24/14,1480.361924,,,
ATL,4/26/14,1475.720683,,,
ATL,4/28/14,1488.336474,,,
